名称,営業日,住所,アクセス
和牛食べ放題専門店　個室完備  焼肉サムライ(侍) 渋谷店,月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区宇田川町12-7 渋谷エメラルドビル4階,JR各線 渋谷駅 徒歩2分渋谷駅から201m◆期間限定食べ放題4380円
完全個室　ホルモン東京　恵比寿店　朝5時まで営業中,月～日: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区恵比寿西１-13-3 ROOB6 2F,ＪＲ恵比寿駅西口から 徒歩3分　代官山駅から徒歩１５分
元祖牛タン専門店 タン次郎 渋谷店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区渋谷１-25-6パークサイド共同ビル　6階,JR渋谷駅より徒歩約1分
LUXURY STAND MILAS BAR ＆ CAFE 渋谷店,月～金: 18:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:30）土、祝日: 17:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:30）日: 13:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:30）祝前日: 18:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌4:30）,東京都渋谷区宇田川町36-2 ノア渋谷B1F,JR渋谷駅ハチ公口より徒歩５分（東急ハンズ向かい　井の頭通り沿い）/渋谷駅から566m
和食居酒屋 鳥世界 渋谷本店,月、日: 12:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）火～土: 12:00～翌7:00 （料理L.O. 翌6:00 ドリンクL.O. 翌6:00）,東京都渋谷区道玄坂２-28-2 GMビル1階,渋谷駅ハチ公口徒歩3分。道玄坂の途中にあるロイヤルホストさんの先です。道案内など気兼ねなくお問い合わせください。
御八 渋谷駅前店,月～日、祝日、祝前日: 16:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:45）,東京都渋谷区道玄坂２－８－７　道玄坂ビルＢ１,ＪＲ渋谷駅ハチ公口徒歩3分・京王井の頭線渋谷駅西口徒歩1分
恵比寿 天空ビアガーデン＆BBQ EBITEN エビテン,月～日、祝日、祝前日: 11:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区恵比寿南１-23-1 ABC亜米利加橋ビル4階,ＪＲ 恵比寿駅 徒歩5分／地下鉄日比谷線 恵比寿駅 徒歩8分 
名物家 恵比寿店,月～金、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）祝日: 13:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区恵比寿西１-7-4　FPGlinks EBISUビル1F,■恵比寿駅から徒歩2分　3時間飲み放題付3300円~！　カラオケ付き個室もご用意◎
渋谷ガーデンスペース 道玄坂,月～日、祝日、祝前日: 11:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区道玄坂２-9-10　松本ビル7F,東京/渋谷駅ハチ公口から徒歩2分（ロイヤルホスト・モスバーガーの向かい）
BBQ＆ビアガーデン ローヒー,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:00）,東京都渋谷区道玄坂２-23-11.ビルドオショオ2階,ＪＲ 渋谷駅 徒歩3分地下鉄 渋谷駅 徒歩3分東急東横線 渋谷駅 徒歩3分渋谷駅から492m
大人気シブヤ倶楽部 渋谷店,月～日、祝日、祝前日: 15:00～翌0:00,東京都渋谷区宇田川町28-1-8F,渋谷駅徒歩2分 【センター街すぐ】
浜焼酒場 トロハチ 渋谷センター街,火～金: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）日: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区宇田川町28-1　高山ランド第１５ビル２階,渋谷１０９から徒歩1分☆センター街のマクドナルドの隣のビル2Fです♪
和牛焼肉食べ放題 肉屋の台所 渋谷道玄坂店,月～日、祝日、祝前日: 12:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２－２５－１７　３Ｆ,渋谷駅近徒歩5分◆和牛焼肉食べ飲み放題/各種ご宴会にぜひご利用ください！A4A5黒毛和牛食べ放題あり
居酒屋 幸ちゃん 渋谷店,月～木: 17:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:30）金: 17:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌1:30）土: 16:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌1:30）日、祝日: 16:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:30）祝前日: 17:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌0:30）,東京都渋谷区渋谷１ －１５－１７,渋谷駅より徒歩2分
完全個室居酒屋 和み屋 渋谷店,月～金: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土、日、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区宇田川町26-4 Lu82ビル　4F,東京メトロ，東急渋谷駅より徒歩約2分/ＪＲ渋谷駅ハチ公口より徒歩約4分
シュラスコ食べ放題 CHURRASCO GANG 渋谷店,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区宇田川町31－1　6F,渋谷駅徒歩3分（シュラスコBBQ&ビアホール）
貸切パーティールーム DeBarge 渋谷駅,月～日、祝日、祝前日: 12:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１－３－６　香山ビル７Ｆ,【渋谷駅から徒歩1分】貸切パーティー専門店（飲み放題＋料理付き）　http://www.debarge.jp/
餃子酒場 肉汁とっつぁん 道玄坂店,月～木: 16:00～翌1:30 （料理L.O. 翌0:30 ドリンクL.O. 翌1:00）金、祝前日: 16:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）土: 15:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）日、祝日: 15:00～翌1:30 （料理L.O. 翌0:30 ドリンクL.O. 翌1:00）,東京都渋谷区道玄坂１-5-3　ケントラストビルB1F,京王井の頭線 渋谷駅 徒歩1分/ＪＲ 渋谷駅 徒歩1分
蔵玄 恵比寿駅前店,月～木: 12:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）金、土、祝前日: 12:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）日、祝日: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区恵比寿西１-7-3 GROUMANDビル 3F,JR線、東京メトロ日比谷線【恵比寿駅】徒歩1分
居酒屋 彩 SAI 渋谷,月～土、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）日: 17:00～翌5:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）,東京都渋谷区宇田川町３０-５　ＪＯＷビル３Ｆ,単品飲み放題980円～/しゃぶしゃぶ・もつ鍋食べ飲み放題コース/JR渋谷駅ハチ公口徒歩５分／宇田川町交番すぐ近く♪
シュラスコレストラン ALEGRIA shibuya アレグリア 渋谷,月～金: 17:00～22:30 （料理L.O. 21:30 ドリンクL.O. 22:00）土、日、祝日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）16:00～22:30 （料理L.O. 21:30 ドリンクL.O. 22:00）,東京都渋谷区渋谷３－２７－５　東急ステイ渋谷南口別館１F,JR渋谷駅(新南口) 徒歩2分♪誕生日プレート無料サービスも☆歓迎会 送別会にも！駅近ビアガーデン♪
完全個室居酒屋 つなぎや 渋谷店,月～金: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土、日、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区宇田川町26-4 Lu82ビル　4F,東京メトロ，東急渋谷駅より徒歩約2分/ＪＲ渋谷駅ハチ公口より徒歩約4分
土間土間 渋谷宮益坂店 ハチ公口改札,月～金: 17:00～翌4:30 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）土、日、祝日: 13:00～翌4:30 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）,東京都渋谷区渋谷１－１２－１　カレイド渋谷宮益坂６Ｆ,地下鉄渋谷駅13a出口1分／JR渋谷駅・東横線渋谷駅・井の頭線渋谷駅東口3分 副都心線徒歩3分宮益坂・居酒屋
均タロー！渋谷店,月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂２－６－１５　ユニ道玄坂４F,東京メトロ，東急渋谷駅Ａ０出口より徒歩約1分/渋谷駅井の頭線西口より徒歩約2分/ＪＲ渋谷駅ハチ公口より徒歩約3分
LUXURY BAR＆KARAOKE PALACE パレス 渋谷駅前店,月～金、祝前日: 17:30～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）土、日、祝日: 14:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-25-6 渋谷パークサイド共同ビル 4F,■JR渋谷駅ハチ公口徒歩30秒！宮下パーク入口ビル４階です！
